¡iTest¡j(Ensemble) Threshold Table_EN :
+------------------+-------+-------+---------+---------+---------+----------+-------------+-------------+
|    Threshold     |   TP  |   TN  |  TP+TN  |   PPV   |   NPV   | Accuracy | Sensitivity | Specificity |
|   (0.30,0.50)    |   12  |  144  |    156  |  0.750  |  0.336  |  0.351   |    0.140    |    0.401    |
|   (0.30,0.55)    |   11  |  146  |    157  |  0.917  |  0.337  |  0.353   |    0.128    |    0.407    |
|   (0.30,0.60)    |   11  |  146  |    157  |  0.917  |  0.337  |  0.353   |    0.128    |    0.407    |
|   (0.30,0.65)    |   10  |  146  |    156  |  0.909  |  0.336  |  0.351   |    0.116    |    0.407    |
|   (0.30,0.70)    |    9  |  146  |    155  |  0.900  |  0.336  |  0.348   |    0.105    |    0.407    |
|   (0.30,0.75)    |    8  |  146  |    154  |  0.889  |  0.335  |  0.346   |    0.093    |    0.407    |
|   (0.30,0.80)    |    7  |  146  |    153  |  0.875  |  0.334  |  0.344   |    0.081    |    0.407    |
|   (0.30,0.85)    |    6  |  146  |    152  |  0.857  |  0.333  |  0.342   |    0.070    |    0.407    |
|   (0.30,0.90)    |    4  |  146  |    150  |  0.800  |  0.332  |  0.337   |    0.047    |    0.407    |
|   (0.30,0.95)    |    3  |  146  |    149  |  0.750  |  0.331  |  0.335   |    0.035    |    0.407    |
|   (0.35,0.40)    |   17  |  129  |    146  |  0.680  |  0.307  |  0.328   |    0.198    |    0.359    |
|   (0.35,0.45)    |   15  |  131  |    146  |  0.714  |  0.309  |  0.328   |    0.174    |    0.365    |
|   (0.35,0.50)    |   12  |  133  |    145  |  0.750  |  0.310  |  0.326   |    0.140    |    0.370    |
|   (0.35,0.55)    |   11  |  135  |    146  |  0.917  |  0.312  |  0.328   |    0.128    |    0.376    |
|   (0.35,0.60)    |   11  |  135  |    146  |  0.917  |  0.312  |  0.328   |    0.128    |    0.376    |
|   (0.35,0.65)    |   10  |  135  |    145  |  0.909  |  0.311  |  0.326   |    0.116    |    0.376    |
|   (0.35,0.70)    |    9  |  135  |    144  |  0.900  |  0.310  |  0.324   |    0.105    |    0.376    |
|   (0.35,0.75)    |    8  |  135  |    143  |  0.889  |  0.310  |  0.321   |    0.093    |    0.376    |
|   (0.35,0.80)    |    7  |  135  |    142  |  0.875  |  0.309  |  0.319   |    0.081    |    0.376    |
|   (0.35,0.85)    |    6  |  135  |    141  |  0.857  |  0.308  |  0.317   |    0.070    |    0.376    |
|   (0.35,0.90)    |    4  |  135  |    139  |  0.800  |  0.307  |  0.312   |    0.047    |    0.376    |
|   (0.35,0.95)    |    3  |  135  |    138  |  0.750  |  0.306  |  0.310   |    0.035    |    0.376    |
|   (0.40,0.45)    |   15  |  131  |    146  |  0.714  |  0.309  |  0.328   |    0.174    |    0.365    |
|   (0.40,0.50)    |   12  |  133  |    145  |  0.750  |  0.310  |  0.326   |    0.140    |    0.370    |
|   (0.40,0.55)    |   11  |  135  |    146  |  0.917  |  0.312  |  0.328   |    0.128    |    0.376    |
|   (0.40,0.60)    |   11  |  135  |    146  |  0.917  |  0.312  |  0.328   |    0.128    |    0.376    |
|   (0.40,0.65)    |   10  |  135  |    145  |  0.909  |  0.311  |  0.326   |    0.116    |    0.376    |
|   (0.40,0.70)    |    9  |  135  |    144  |  0.900  |  0.310  |  0.324   |    0.105    |    0.376    |
|   (0.40,0.75)    |    8  |  135  |    143  |  0.889  |  0.310  |  0.321   |    0.093    |    0.376    |
