,11386,11409.5,11440.6,11472.6,11498.2,11512.7,11527.1,11541.4,11585.4,11629.2,11683.7,11741.1,11425.5,11459.9,11483.6,11555,11570.1,11607.3,11651.7,11668.5,11696.1,11711.7,11726,11763.3,11785.2,11352.7,11395.4,11419.9,,12360.5,0,,,,,,,,,,,,,,,,,,,,
,0.054672952,0.012274378,0.247950823,0.328019023,3.747152426,0.040222712,1.551518763,0.149344776,14.0501004,1.234032933,1.050043503,10.28257868,0.025632536,0.028843919,0.498606373,0.590994832,3.426230414,1.764162961,0.46070906,0.124114632,0.110455836,0.471560093,2.39515618,1.014513876,0.30795377,0.022706102,0.003617218,0.002756266,,979.9304304,,,,,,,,,,,,,,,,,,,,,
GC-KM-843_rep_FCY190821(1)=2.4ug_ISD=7ng_30%_1,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1b (R-),SAA2a,SAA1a,SAA1b,bin1,bin3,bin10,bin24,bin31,bin38,bin42,bin46,bin50,bin54,bin55,bin61,bin66,bin73,bin78,bin79,bin83,UDF1,UDF19,UDF33,UDF41,,ISD,MAD,,,,,,,,,,,,,,,,
,11386.1,11410.6,11439.6,11473.6,11495.3,11511.9,11527.1,11586.9,11629.8,11682.9,11741.2,11396.6,11424.6,11460.3,11549,11571.4,11594.6,11606.7,11614.8,11637.6,11652.7,11668,11705.3,11727.1,11748,11772.1,11780.1,11792.6,11356.8,11481.8,11558.1,11580.9,,12361.6,0,,,,,,,,,,,,,,,,
,0.003764753,0.002405648,0.050522768,0.012710863,0.008045211,0.045423014,0.311443824,6.20E-05,0.007415711,0.338168611,0.000323377,0.000945888,0.009924316,0.004748642,0.016216074,0.007884307,0.004593982,0.001457423,0.005199721,0.001230531,0.008510508,0.050492902,0.021153744,0.007359117,0.003165566,0.002732049,0.000583744,0.002622229,0.001465339,0.000874378,0.000430688,0.001006824,,1154.92834,,,,,,,,,,,,,,,,,
GC-KM-843_rep_FCY190821(1)=2.4ug_ISD=7ng_30%_2,SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin3,bin9,bin10,bin16,bin24,bin31,bin37,bin39,bin42,bin46,bin50,bin54,bin55,bin61,bin66,bin73,bin78,UDF1,UDF2,UDF4,UDF75,UDF90,UDF93,UDF95,UDF97,UDF100,,ISD,MAD,,,,,,,,,,,,,,,
,11440.3,11472.7,11496.1,11512,11527.2,11628.7,11683.6,11425.8,11458,11462.6,11484.9,11548.5,11570.3,11592.3,11597.7,11606.6,11613.7,11638.1,11652.4,11667.9,11705.3,11726.8,11749.6,11772,11364.8,11387.2,11407.5,11714.1,11764.1,11777.7,11783.1,11790,11795,,12361.6,0,,,,,,,,,,,,,,,
,0.046759332,0.014758553,0.009298422,0.049363491,0.301330505,0.006121681,0.340582283,0.00884383,0.004095223,0.001920451,0.002299161,0.013876895,0.008803818,0.001407441,0.00166372,0.000443727,0.003913836,0.001891982,0.008967176,0.049014755,0.01743394,0.007732103,0.002542128,0.001597122,0.001081979,0.002865469,0.002451854,0.000255376,0.00046926,0.00094793,8.75E-05,0.000672642,0.002483736,,1054.553818,,,,,,,,,,,,,,,,
GC-KM-889_HYR20200901(1)=2.4 ug_ISD=10 ng_35%_1,SAA1g (RS-),SAAU2 (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1b (R-),SAA2a,SAA1g,SAA1a,SAA1b,SAAU3,bin1,bin9,bin10,bin16,bin24,bin29,bin33,bin37,bin39,bin42,bin45,bin51,bin55,bin62,bin73,bin75,bin78,UDF1,UDF2,UDF39,UDF55,UDF73,UDF75,UDF78,UDF96,UDF97,,ISD,MAD,,,,,,,,,
,11411.7,11426.6,11440.5,11471.2,11498.1,11512.5,11527.1,11584.5,11630,11654.4,11683.8,11742.9,11758.2,11396.5,11457.6,11463,11483.6,11549.6,11565,11577.8,11593.1,11599.8,11605.5,11612.3,11639.8,11667.2,11710.2,11748.1,11763.8,11771.1,11303.3,11388.2,11572.3,11617.8,11703.4,11715,11724.6,11786.1,11791,,12361,0.001863573,,,,,,,,,
,0.001524827,0.00069185,0.002264994,0.00079656,0.005949375,0.001455986,0.011246308,8.89E-05,0.001012236,0.007680618,0.007561653,0.001409939,0.000624789,0.000753588,0.000715868,0.000433958,0.001454053,0.001396294,0.000678583,0.001022379,0.001525632,9.47E-05,0.000649893,0.000597429,0.001752789,0.001546226,0.000660659,0.00022509,0.000156327,0.001066185,0.001037502,0.000800819,0.000458312,0.000258838,0.000886659,0.000173222,0.001053689,0.00037776,0.00079689,,1888.951627,,,,,,,,,,
GC-KM-889_HYR20200901(1)=2.4 ug_ISD=10 ng_35%_2,SAA2a (RS-),SAA1g (RS-),SAAU2 (RS-),SAA1a (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1b (R-),SAAU3 (R-),SAA2a,SAA1g,SAA1a,bin1,bin3,bin10,bin12,bin16,bin21,bin24,bin26,bin31,bin33,bin37,bin46,bin55,bin66,bin69,bin71,bin73,bin75,bin79,bin81,UDF1,UDF2,UDF5,UDF46,UDF51,UDF55,UDF59,UDF73,UDF75,UDF77,UDF81,UDF91,UDF93,UDF100,,ISD,MAD
,11383.6,11410.3,11428.9,11440.4,11454.1,11474.4,11499.2,11511.6,11527.1,11584.3,11601.7,11628.5,11654.4,11683.4,11396.4,11424.4,11462.1,11467.5,11483.6,11538.1,11547.9,11559.9,11570.3,11578.9,11591.9,11613.4,11668.7,11725.9,11736.2,11745.1,11749.3,11762.2,11778.8,11786,11321.5,11391.8,11415.7,11596.5,11608.8,11617.9,11638.7,11702.4,11713.1,11720,11733,11766.2,11773.1,11794,,12361,0.005894776
,0.00054821,0.000750302,0.000216422,0.001735582,0.000262736,0.000366701,0.005476037,0.001342352,0.009876158,0.000335414,0.000427731,0.000664273,0.007787542,0.006789569,0.00044415,0.000293864,0.000630917,0.000438247,0.001668048,0.000136157,0.001630433,0.000226184,0.000842151,0.000177068,0.000285304,0.00018976,0.001585923,0.001067209,0.000227184,0.00094897,0.000566685,0.000396634,0.00051829,0.00040448,0.000650442,0.000333611,0.001181601,0.000408124,0.000443024,0.000480726,0.001006716,0.000745461,8.95E-05,0.000589127,0.000182148,0.000380462,0.000332529,0.000480492,,2091.221741,
GC-KM-907_HYR20201005(1)=2.4 ug_ISD=5 ng_35%_1,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1b (R-),SAA2a,SAA1g,SAA1a,bin1,bin3,bin24,bin28,bin31,bin39,bin46,bin51,bin55,bin61,bin64,bin66,bin73,bin78,bin83,UDF1,UDF20,UDF44,UDF48,,ISD,MAD,,,,,,,,,,,,,,,,,
