CP-CG-0013_HYR20201005(1)=2.4 ug_ISD=5 ng_40%_1,SAA2a (RS-),SAA1g (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAA2a,SAA1g,SAAU1,bin1,bin6,bin16,bin19,bin45,bin51,bin57,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,
,11385.4,11412.2,11457,11473,11499.1,11629.1,11655.4,11698.9,11397.1,11434.2,11484,11520.8,11612.8,11640,11677.3,,12361,5.1891,0.023892032,3.62089702,,,,,,,,,
,0.1,0.1,0.1,0.1,0.6,0.2,1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,,1597.351853,,,,,,,,,,,,
CP-CG-0013_HYR20201005(1)=2.4 ug_ISD=5 ng_40%_2,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAA2a,SAA1g,SAAU1,bin1,bin16,bin19,bin46,bin51,bin57,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,
,11385.4,11412.2,11436.5,11457,11472.8,11499.1,11628.5,11655.4,11699.7,11397.1,11484,11521.1,11613.8,11640.3,11677.3,,12361,4.4478,0.023262138,3.854932979,,,,,,,,,
,0.1,0.1,0.1,0.1,0.1,0.6,0.2,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,1177.740305,,,,,,,,,,,,
CP-KM-41795_HYR1012=2.4ug_ISD=10ng_1,SAA2a (RS-),SAA1g (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAAU1 (R-),SAA2a,SAA1g,SAAU1,bin1,bin6,bin16,bin19,bin51,bin57,UDF54,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,
,11386.2,11412,11456.8,11472.8,11499.2,11543.1,11629.2,11655.2,11698.5,11396.7,11433.9,11483.9,11521,11639.9,11676.8,11613.2,,12361.2,10.3782,0.013739449,0.818800238,,,,,,,,
,0.1,0.4,0.2,0.2,0.6,0.2,0.4,1,0.2,0.1,0.2,0.2,0.2,0.4,0.4,0.028863763,,4755.362867,,,,,,,,,,,
CP-KM-41795_HYR1012=2.4ug_ISD=10ng_2,SAA2a (RS-),SAA1g (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAAU1 (R-),SAA2a,SAA1g,SAAU1,bin1,bin6,bin16,bin19,bin51,bin57,UDF54,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,
,11386.2,11412,11456.8,11473.9,11499.6,11542.7,11629.1,11655,11698.5,11397.9,11434,11483.9,11520.7,11640.3,11676.9,11613.2,,12361.2,10.3782,0.014099073,0.796338146,,,,,,,,
,0.1,0.4,0.2,0.2,0.6,0.2,0.4,1,0.2,0.1,0.2,0.2,0.2,0.4,0.4,0.03174007,,3617.996896,,,,,,,,,,,
CP-KM-42005_HYR190522=2.4ug_ISD=5ng_30%_1,SAA1g (RS-),SAAU1 (RS-),SAA1g (R-),SAAU1 (R-),SAA2a,SAA1g,bin1,bin6,bin16,bin19,bin46,bin51,bin57,UDF15,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,
,11412,11455.9,11498.9,11542,11629.5,11655.4,11398,11434.1,11484.1,11521,11614,11641.2,11677.4,11470.7,,12361,2.9652,0.009242749,0.613334451,,,,,,,,,,
,0.4,0.2,1,0.1,0.2,0.8,0.1,0.1,0.4,0.2,0.1,0.4,0.2,0.026487105,,866.5526177,,,,,,,,,,,,,
